timestamp,sentiment_mean,sentiment_weighted_mean,num_texts
2022-12-08 00:00:00+00:00,0.0,-0.0035885697916934363,38
2022-12-09 00:00:00+00:00,-0.1111111111111111,-0.07405083957645628,72
2022-12-10 00:00:00+00:00,-0.05714285714285714,-0.047012074504579816,70
2022-12-11 00:00:00+00:00,-0.08333333333333333,-0.05230389473338922,96
2022-12-12 00:00:00+00:00,-0.10344827586206896,-0.036140003081025746,116
2022-12-13 00:00:00+00:00,-0.08403361344537816,-0.04735567264196252,119
2022-12-14 00:00:00+00:00,-0.08130081300813008,-0.05354939825166532,123
2022-12-15 00:00:00+00:00,-0.013888888888888888,-0.02742396543423335,72
2022-12-16 00:00:00+00:00,-0.010309278350515464,0.008033844613537346,97
2022-12-17 00:00:00+00:00,-0.11956521739130435,-0.08168668915396152,92
2022-12-18 00:00:00+00:00,-0.14925373134328357,-0.10049621634815463,201
2022-12-19 00:00:00+00:00,-0.3074027603513174,-0.21685834406609816,797
